Presenting	Twitter	What	Slides (link)	Sesson type	Misc
Achim Zeileis 	@AchimZeileis	R/exams: A One-for-All Exams Generator 		keynote	
Martin Mächler 	@MMaechler	"What I find important when R Programming; some late features "		keynote	
Nathalie Villa-Vialaneix 	@Natty_V2	Learning from (dis)similarity data 		keynote	
Roger Bivand 	@RogerBivand	A practical history of R (where things came from) 		keynote	
Stefano M. Iacus 	@iacus	Sentiment Analysis on Social Media and Big Data 		keynote	
Arthur Charpentier 	@freakonometrics	Demographics with Genealogical Data 		invited	
Bárbara Borges 		Drilldown data discovery with Shiny 		invited	
Colin Gillespie 	@csgillespie	Getting the most out of GitHub and friends 		invited	
Erin LeDell 	@ledell	Scalable Automatic Machine Learning in R 		invited	
Henrik Bengtsson 	@henrikbengtsson	A Future for R: Parallel and Distributed Processing in R for Everyone 		invited	
Jeroen Ooms 	@opencpu	Using Rust code in R packages 		invited	
Mark van der Loo 	@markvdloo	Tracking changes in data with the lumberjack package 		invited	
Matthias Templ 		Compositional analysis of our favourite drinks 		invited	
Olga Mierzwa-Sulima 	@olga_mie	Taking inspirations from proven frontend frameworks to add to Shiny with 4 new packages 		invited	
Przemyslaw Biecek 	@smarterpoland	Show me your model 2.0 		invited	
Szilard Pafka 	@DataScienceLA	Better than Deep Learning - Gradient Boosting Machines (GBM) in R 		invited	
Aimee Gott 	@aimeegott_R	Using R to Build a Data Science Team 		contributed	
Andrea Melloncelli 	@akirocode	What software engineers can teach to data scientists: code safety and … with automatic tests 		contributed	
Andreas Scharmüller	@andschar	Time series modeling of plant protection products in aquatic systems in R 		contributed	
Andrew Collier 	@DataWookie	Taking the Bayesian Leap 		contributed	
Andrie de Vries 	@revoandrie	Tools for using TensorFlow with R 		contributed	
Claus Thorn Ekstrøm 	@ClausEkstrom	Predicting the winner of the 2018 FIFA World Cup predictions 		contributed	
David Ardia		Markov-Switching GARCH Models in R: The MSGARCH Package 		contributed	
David Smith 	@revodavid	Speeding up R with Parallel Programming in the Cloud 		contributed	
Dénes Tóth		radii.defer: Deferred execution of nested functions 		contributed	
Edwin Thoen 	@edwin_thoen	A recipe for recipes 		contributed	
Edwin de Jonge 	@edwindjonge	validatetools: resolve and simplify contradictive or redundant data validation rules. 		contributed	
Federico Marini	@FedeBioinfo	Interactivity meets Reproducibility: the ideal way of doing RNA-seq analysis 		contributed	
Francois Mercier 	@mgrafit	Nonlinear mixed-effects models in R 		contributed	
Goran Milovanovi_ 	@GSMilovanovic	Wikidata Concepts Monitor: R in action across Big Wikidata 		contributed	
Heather Turner	@HeathrTurnr	Modelling Item Worth Based on Rankings 		contributed	
Ildiko Czeller 	@czeildi	The essentials to work with object-oriented systems in R 		contributed	
Leopoldo Catania 		Predicting Cryptocurrencies Time–Series with the eDMA package 		contributed	
Lionel Henry 	@_lionelhenry	Harness the R condition system 		contributed	
Marcin Kosi_ski	@kosinski_rblog	Multi-state churn analysis with a subscription product 		contributed	
Miko_aj Olszewski		Not all that Shiny by default 		contributed	
Mira Kattwinkel		openSTARS: prepare GIS data for regression analysis on stream networks 		contributed	
Noa Tamir 	@noatamir	Data Culture in Practice 		contributed	
Omayma Said 		Fitting Humans Stories in List Columns: Cases From an Online Recruitment Platform 		contributed	
Robin Lovelace 	@robinlovelace	Geocomputation for Active transport planning: a case study of cycle network design 		contributed	
Sander Devriendt		Sparsity with multi-type Lasso regularized GLMs 		contributed	
Simon Field 	@Fieldy6961	Exploiting Spark for high-performance scalable data engineering and data-science on Microsoft Azure 		contributed	
Stanislaus Stadlmann 	@stadlmann_	bamlss.vis - an R package for interactively visualising distributional regression models 		contributed	
Tom Reynkens		Estimating the maximum possible earthquake magnitude using extreme value methodology: the Groningen case 		contributed	
Tomislav Hengl	@tom_hengl	Machine Learning (ranger package) as a framework for spatial and spatiotemporal prediction 		contributed	
Wit Jakuczun 	@WitJakuczun	Know your R usage workflow to handle reproducibility challenges 		contributed	
Zuzana Hubnerova		Asymptotic Powers of Selected ANOVA Tests in Generalized Linear Models 		contributed	
Alicja Fra_ 		Nested apply as an alternative to double for loops 		lightning	
Andrea Schnell 	@schnllr	Establishing analytical pipelines tools and culture 		lightning	
Bence Arató 	@BenceArato	The Big Connection - using R with big data 		lightning	
Chris von Csefalvay 	@chrisvcsefalvay	Soylent Green is populations! Using synthetic populations in research and analytics 		lightning	
Ekaterina Fedotova 		Pragmatic approach for efficient processing of spatial data: application to climatology 		lightning	
Emil Lykke Jensen 	@emillykkejensen	Make R elastic 		lightning	
Florian Privé 	@privefl	An R package for statistical tools with big matrices stored on disk 		lightning	
Hannah Frick 	@hfcfrick	Navigating the Wealth of R Packages 		lightning	
Jakub Houdek 		How to tell if a hockey player performs well (enough) 		lightning	
Johannes Gussenbauer		The R-Package ‘surveysd’ 		lightning	
Krzysztof J_drzejewski 		IRT and beyond - what to do when you want to modify a model, but the package you use do not let you? 		lightning	
Lubomír _t_pánek	@LubomirStepanek	Classification and attractiveness evaluation of facial emotions for purposes of plastic surgery using machine-learning methods and R 		lightning	
Luke Johnston 	@lwjohnst	An R toolkit to simplify and automate an open scientific workflow 		lightning	
Matthias Kaeding 		RcppGreedySetCover: Scalable Set Cover 		lightning	
Mikkel Freltoft Krogsholm 	@mikkelkrogsholm	Write Rmazing Code! 		lightning	
Mikolaj Olszewski 		What teaching R taught me about R 		lightning	
Mira Céline Klein 		Writing R packages for clients: Guidelines at INWT Statistics 		lightning	
